Replicate,Date,Limpet_ID,Limpet_col,Limpet_size,Panel_type,Net_distance
6,18_05_23,109,Pink,3.4,Ripple,20.3917
6,18_05_23,100,Red,1.8,Ripple,6.99957
6,18_05_23,103,Purple,2.6,Ripple,3.31439
6,18_05_23,106,Turquoise,3.6,Ripple,8.68143
7,24_05_23,113,Turquoise,3,Ripple,0.974521
8,07_06_23,140,Turquoise,2.2,Ripple,6.29399
8,07_06_23,143,Green,3.5,Ripple,26.0975
8,07_06_23,133,Purple,3.1,Ripple,16.1462
8,07_06_23,130,Red,4.3,Ripple,5.61495
9,07_07_23,153,Red,2.3,Ripple,9.81951
9,07_07_23,160,Pink,3.3,Ripple,18.1563
9,07_07_23,147,Turquoise,3.2,Ripple,0.637763
9,07_07_23,150,Purple,5,Ripple,0.843899
10,22_07_23,168,Pink,3.1,Ripple,7.23708
10,22_07_23,174,Turquoise,4.3,Ripple,13.2476
10,22_07_23,161,Red,2.1,Ripple,0.0484995
10,22_07_23,171,Purple,3.1,Ripple,9.94471
5,12_05_23,92,Red,3.3,Ripple,0.0785818
5,12_05_23,85,Pink,3,Ripple,13.4935
5,12_05_23,95,Turquoise,3.2,Ripple,17.2555
5,12_05_23,82,Purple,3.1,Ripple,17.1939
6,19_05_23,102,Turquoise,2.7,Flat,2.20882
6,19_05_23,105,Pink,3.5,Flat,8.68143
6,19_05_23,112,Red,4,Flat,8.37356
7,24_05_23,119,Pink,3.1,Flat,3.48562
7,24_05_23,122,Purple,2.6,Flat,2.16253
7,24_05_23,116,Red,2.9,Flat,0.0171716
7,24_05_23,125,Turquoise,4.2,Flat,0.0171716
8,07_06_23,142,Red,3.7,Flat,0.00898684
8,07_06_23,136,Turquoise,3.3,Flat,0.918594
8,07_06_23,139,Green,2.2,Flat,16.3302
8,07_06_23,129,Purple,4.4,Flat,0.0179737
9,07_07_23,149,Red,4.9,Flat,0.863587
9,07_07_23,156,Pink,2.2,Flat,0.858028
9,07_07_23,146,Purple,2.9,Flat,1.38619
9,07_07_23,159,Turquoise,3.4,Flat,2.51404
10,21_07_23,173,Turquoise,4.1,Flat,1.01218
10,21_07_23,164,Red,1.7,Flat,1.57335
10,21_07_23,167,Pink,3,Flat,2.42719
10,21_07_23,170,Purple,3.3,Flat,1.84202
3,07_04_23,58,Turquoise,3.6,Flat,0.0300124
3,07_04_23,49,Pink,4,Flat,0.00671097
3,07_04_23,61,Purple,2.8,Flat,3.01346
3,07_04_23,54,Red,2.4,Flat,2.85114
4,06_05_23,78,Purple,3.8,Flat,1.24515
4,06_05_23,65,Pink,4.7,Flat,0.92138
4,06_05_23,72,Red,3.2,Flat,0
4,06_05_23,75,Turquoise,1.9,Flat,0.0214147
6,18_05_23,101,Pink,2.2,cm_5,0.0433632
6,18_05_23,111,Purple,3.8,cm_5,2.66922
6,18_05_23,108,Red,3.3,cm_5,2.49135
7,25_05_23,118,Purple,3.4,cm_5,0.940177
7,25_05_23,121,Turquoise,2.4,cm_5,0.879534
7,25_05_23,115,Pink,3.1,cm_5,2.09178
7,25_05_23,128,Red,3.9,cm_5,0.784009
8,07_06_23,134,Red,3.2,cm_5,2.97568
8,07_06_23,137,Purple,2.3,cm_5,7.91351
8,07_06_23,144,Turquoise,3.4,cm_5,0.0148665
8,07_06_23,131,Green,4.5,cm_5,17.2123
9,07_07_23,152,Pink,4.3,cm_5,1.23217
9,07_07_23,155,Turquoise,2.4,cm_5,8.41974
9,07_07_23,145,Red,3.2,cm_5,2.3697
9,07_07_23,158,Purple,3.5,cm_5,17.021
10,21_07_23,176,Turquoise,4.2,cm_5,4.64017
10,21_07_23,163,Red,1.9,cm_5,2.28274
10,21_07_23,169,Purple,3.5,cm_5,1.18877
10,21_07_23,166,Pink,3.1,cm_5,3.50646
3,08_04_23,59,Purple,3.6,cm_5,0.009467
3,08_04_23,52,Red,3.8,cm_5,13.5674
3,08_04_23,62,Turquoise,2.8,cm_5,0.0390334
3,08_04_23,53,Pink,2.6,cm_5,0.0341338
4,05_05_23,74,Purple,2.5,cm_5,0.837321
4,05_05_23,68,Red,4.9,cm_5,16.3895
4,05_05_23,71,Turquoise,3.4,cm_5,0.0340196
4,05_05_23,77,Pink,3.5,cm_5,16.0539
6,19_05_23,104,Red,3.1,cm_25,20.7356
6,19_05_23,107,Purple,3.3,cm_25,0.780698
6,19_05_23,110,Turquoise,3.9,cm_25,14.3905
6,19_05_23,97,Pink,1.7,cm_25,14.7779
7,25_05_23,124,Red,2.4,cm_25,0.072983
7,25_05_23,117,Turquoise,3.3,cm_25,1.96696
7,25_05_23,127,Pink,4.1,cm_25,8.85117
7,25_05_23,114,Purple,3.4,cm_25,3.63484
8,08_06_23,138,Red,1.9,cm_25,0.237137
8,08_06_23,141,Purple,3.7,cm_25,12.0562
8,08_06_23,132,Turquoise,4.7,cm_25,8.2614
8,08_06_23,135,Green,3.3,cm_25,1.23838
10,20_07_23,162,Red,2.3,cm_25,3.65
10,20_07_23,175,Turquoise,4.5,cm_25,2.91054
10,20_07_23,172,Purple,3.3,cm_25,0.0256334
10,20_07_23,165,Pink,3.1,cm_25,8.19485
5,11_05_23,83,Turquoise,2.6,cm_25,1.60837
5,11_05_23,89,Pink,3,cm_25,1.67947
5,11_05_23,96,Red,2.8,cm_25,3.34132
5,11_05_23,86,Purple,3.3,cm_25,0.422438
3,08_04_23,56,Purple,2.5,cm_25,0.0071987
3,08_04_23,57,Red,3.2,cm_25,11.4641
3,08_04_23,51,Turquoise,3.5,cm_25,17.592
3,08_04_23,63,Pink,2.9,cm_25,10.803
4,05_05_23,67,Turquoise,4.1,cm_25,0.279906
4,05_05_23,80,Red,3.7,cm_25,13.012
4,05_05_23,70,Purple,3,cm_25,1.26706
4,05_05_23,73,Pink,1.8,cm_25,0.444094
